Time,MemberName,TotalStocks,UnitSales
2025-04-21 23:02:21,JAEMIN,996978,
2025-04-21 23:02:33,JAEMIN,996978,0
2025-04-21 23:08:51,JAEMIN,996978,0
2025-04-21 23:13:53,JAEMIN,996978,0
2025-04-21 23:18:56,JAEMIN,996978,0
2025-04-21 23:23:58,JAEMIN,996978,0
